代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
601872,招商轮船,17.19,17.43,16.66,16.8,17.19,-2.27,1887810840.0
601881,中国银河,12.39,12.81,12.39,12.67,12.37,2.43,860853860.0
601888,中国中免,65.42,65.42,64.34,64.56,65.62,-1.62,1274921691.0
601898,中煤能源,17.2,18.66,17.2,18.57,17.49,6.17,1134068071.0
601899,紫金矿业,33.33,33.46,32.88,32.95,33.56,-1.82,6855447844.0
601916,浙商银行,2.95,2.97,2.95,2.96,2.96,0.0,165533659.0
601919,中远海控,14.22,14.33,14.08,14.23,14.2,0.21,1236875107.0
601939,建设银行,9.66,9.81,9.62,9.8,9.68,1.24,772396450.0
601965,XD中国汽,16.2,16.2,15.72,15.87,16.2,-2.04,145258743.0
601985,中国核电,9.02,9.09,8.96,9.09,9.02,0.78,1317570328.0
601988,中国银行,5.74,5.82,5.73,5.81,5.76,0.87,952210043.0
601991,大唐发电,4.03,4.06,3.97,4.04,4.05,-0.25,649466047.0
601995,中金公司,33.99,34.57,33.93,34.33,34.03,0.88,755507141.0
