date,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比
2026-07-19,风电零部件,-4.18,-168515248.0,-2.67
2026-07-19,基础建设,-3.43,-170724336.0,-2.45
2026-07-19,食品加工,-3.35,-178784137.0,-3.86
2026-07-19,普钢,-1.23,-180759552.0,-3.73
2026-07-19,光伏电池组件,-3.9,-182140624.0,-3.0
2026-07-19,一般零售,-3.01,-184314304.0,-1.68
2026-07-19,快递,-3.07,-185038829.0,-9.24
2026-07-19,旅游及景区,-3.1,-186371500.0,-6.87
2026-07-19,美容护理,-3.67,-186503022.0,-3.21
2026-07-19,家居用品,-3.99,-191291621.0,-2.83
2026-07-19,有机硅,-4.67,-191599933.0,-4.69
2026-07-19,其他化学原料,-2.62,-195373146.0,-6.55
2026-07-19,水务及水治理,-4.08,-205193791.0,-3.5
2026-07-19,环保设备Ⅲ,-5.19,-206226282.0,-5.14
2026-07-19,环保设备Ⅱ,-5.19,-206226282.0,-5.14
2026-07-19,装修建材,-4.15,-213512505.0,-4.33
2026-07-19,改性塑料,-5.31,-215097749.0,-5.26
2026-07-19,造纸,-3.12,-217653239.0,-7.67
2026-07-19,综合电力设备商,-2.76,-220223710.0,-13.32
2026-07-19,多元金融,-2.06,-233226768.0,-3.82
2026-07-19,综合Ⅱ,-2.82,-239450480.0,-5.12
2026-07-19,综合,-2.82,-239450480.0,-5.12
2026-07-19,综合Ⅲ,-2.82,-239450480.0,-5.12
2026-07-19,油气开采Ⅲ,-0.61,-243204536.0,-8.37
2026-07-19,油气开采Ⅱ,-0.61,-243204536.0,-8.37
2026-07-19,白银,-6.76,-249543872.0,-8.11
2026-07-19,港口,0.33,-252781072.0,-9.11
2026-07-19,农商行Ⅲ,0.0,-253259409.0,-9.74
2026-07-19,输变电设备,-2.37,-265389184.0,-2.11
2026-07-19,磨具磨料,-5.75,-271803088.0,-3.44
2026-07-19,饮料乳品,-2.28,-277462944.0,-4.51
2026-07-19,院线,-6.59,-278063344.0,-5.84
2026-07-19,电机Ⅲ,-4.86,-282183040.0,-5.19
2026-07-19,电机Ⅱ,-4.86,-282183040.0,-5.19
2026-07-19,原料药,-6.79,-283835568.0,-2.13
2026-07-19,彩电,-5.46,-284281199.0,-11.93
2026-07-19,专业服务,-3.68,-287955424.0,-6.09
2026-07-19,合成树脂,-5.42,-289725616.0,-4.81
2026-07-19,钢铁,-2.02,-291560096.0,-3.48
2026-07-19,航运,-0.97,-296467744.0,-4.11
2026-07-19,房屋建设Ⅲ,-2.68,-299132128.0,-10.41
2026-07-19,房屋建设Ⅱ,-2.68,-299132128.0,-10.41
2026-07-19,包装印刷,-4.38,-303400296.0,-5.55
2026-07-19,物流,-2.77,-305444850.0,-5.0
